Date,Hardware Identifier,What Failed,Description of Failure,Action Taken
4/20/2004 13:10,node 553,CPU,"CMC ERROR ",REPLACE,
4/20/2004 13:40,node 636,UNKNOWN,"CMC ERROR ",NONE,
4/20/2004 13:40,dtemp storage 21,HSV,"Drive 1/9 failure",REPLACE,
4/20/2004 14:10,node 163,DISK,"I/O Error on Drive sdh",REPLACE,
4/20/2004 14:10,node 177,DISK,"I/O Error on Drive sdc",REPLACE,
4/20/2004 14:10,node 203,DISK,"I/O Error on Drive sde",REPLACE,
4/21/2004 8:00,node 638,UNKNOWN,"CMC ERROR ",NONE,
4/21/2004 8:30,node 764,PLATFORM,"LED ERROR System Battery Voltage low",REPLACE,
4/21/2004 9:00,quadrics switch 1N10,QSW,"Controller in a unknown state ",REPLACE,
4/22/2004 9:00,node 312,DISK,"I/O Error on Drive sdf",REPLACE,
4/22/2004 9:00,node 545,UNKNOWN,"CMC ERROR ",NONE,
4/22/2004 9:00,node 955,UNKNOWN,"CMC ERROR ",NONE,
4/23/2004 8:00,node 516,CPU,"CMC ERROR ",REPLACE,
4/23/2004 8:00,node 451,CPU,"CMC ERROR ",REPLACE,
4/26/2004 8:00,node 78,DISK,"I/O Error on Drive sdg",REPLACE,
4/26/2004 8:00,node 144,DISK,"I/O Error on Drive sde",REPLACE,
4/26/2004 8:30,node 233,DISK,"I/O Error on Drive sdh",REPLACE,
4/26/2004 9:00,node 260,DISK,"I/O Error on Drive sdi",REPLACE,
4/26/2004 9:00,node 493,CABLE,"I/O Error across RAID (sda,sdb,sdc) ",REPLACE,
4/26/2004 9:40,node 515,UNKNOWN,"CMC ERROR ",NONE,
4/26/2004 9:40,node 516,CABLE,"I/O Error across RAID (sdd,sde,sdf) ",REPLACE,
4/26/2004 10:20,dtemp storage 07,HSV,"Drive 10/14 failure ",REPLACE,
4/26/2004 10:20,dtemp storage 09,HSV,"Drive 3/12 failure ",REPLACE,
4/26/2004 10:50,dtemp storage 11,HSV,"Drive 11/3 ",REPLACE,
4/26/2004 10:50,dtemp storage 21,HSV,"Drive 2/8 failure ",REPLACE,
4/26/2004 10:50,dtemp storage 23,HSV,"Drive 11/4 ",REPLACE,
4/26/2004 10:50,home storage 5,HSV,"Drive 5/5 failure ",REPLACE,
4/26/2004 8:00,node 140,DISK,"I/O Error on Drive sde",REPLACE,
4/26/2004 8:00,node 255,DISK,"I/O Error on Drive sde",REPLACE,
4/26/2004 8:00,node 290,DISK,"I/O Error on Drive sdf",REPLACE,
4/26/2004 8:00,node 332,DISK,"I/O error on Drive sdb",REPLACE,
4/26/2004 8:00,node 517,DISK,"I/O Error on Drive sdd",REPLACE,
4/26/2004 8:00,node 915,DISK,"I/O error on Drive sda",REPLACE,
4/27/2004 8:00,node 919,DISK,"I/O Error on Drive sdb",REPLACE,
4/26/2004 8:00,node 927,DIMM,"CMC ERROR ",NONE,
4/26/2004 8:00,node 968,CPU,"CMC ERROR ",REPLACE,
4/27/2004 8:00,node 570,UNKNOWN,"CMC ERROR ",NONE,
4/27/2004 8:30,node 284,DIMM,"CMC ERROR ",NONE,
4/27/2004 8:30,node 715,ELAN4,"CMC ERROR ",NONE,
4/28/2004 8:30,node 125,UNKNOWN,"CMC ERROR ",NONE,
4/28/2004 8:30,node 136,DISK,"I/O Error on Drive sdh",REPLACE,
4/28/2004 8:30,node 178,DISK,"I/O Error on Drive sdh",REPLACE,
4/28/2004 9:00,node 449,OS,"MCA ERROR ",UPDATE_FW,
4/28/2004 9:30,node 536,UNKNOWN,"CMC ERROR ",NONE,
4/28/2004 9:30,node 945,UNKNOWN,"CMC ERROR ",NONE,
4/29/2004 7:30,node 179,DIMM,"CMC ERROR ",NONE,
4/29/2004 8:00,node 332,DISK,"I/O Error on Drive sdi",REPLACE,
4/29/2004 8:30,node 493,DISK,"I/O Error on Drive sdf",REPLACE,
4/29/2004 9:00,node 566,DIMM,"CMC ERROR ",NONE,
4/30/2004 7:00,node 332,UNKNOWN,"CMC ERROR ",NONE,
5/1/2004 0:00,node 88,DISK,"Drive SDI Failed",REPLACE,
5/1/2004 12:53,node 176,DISK,"Drive SDI Failed",REPLACE,
5/1/2004 12:54,node 179,DIMM,"3 Single Bit Errors under the PDT for DIMM 0A",NONE,
5/1/2004 12:57,node 778,DIMM,"1 Single Bit Error under the PDT for DIMM 3B",MISC,
5/1/2004 13:38,node 875,DISK,"Drive sdb failed ",REPLACE,
5/1/2004 13:39,node 931,UNKNOWN,"CMC Error ",NONE,
5/1/2004 14:06,node 322,DIMM,"5 Single Bit Errors in PDT for DIMM 1B",NONE,
5/1/2004 14:09,node 334,DISK,"Drive sdf failed ",REPLACE,
5/1/2004 14:11,node 359,DIMM,"1 Single Bit Error in PDT for DIMM 2B",NONE,
5/1/2004 11:05,node 5,PLATFORM,"MCA error ",REPLACE,
5/1/2004 11:29,node 449,PLATFORM,"MCA Error ",REPLACE,
5/3/2004 11:15,node 683,UNKNOWN,"CMC Error ",INVESTIGATE,
5/3/2004 11:37,node 510,OS,"Waiting for Luster/Quadrics fix before returning to Cluster ",MISC,
5/3/2004 11:42,node 649,OS,"Waiting for Luster/Quadrics fix before returning to Cluster ",MISC,
5/3/2004 11:44,node 763,OS,"Waiting for Luster/Quadrics fix before returning to Cluster ",MISC,
5/4/2004 7:30,node 127,DISK,"I/O on Drive sda ",REPLACE,
5/4/2004 8:30,node 221,DISK,"I/O on Drive sdg ",REPLACE,
5/4/2004 8:30,node 248,DISK,"I/O on Drv sdh ",REPLACE,
5/4/2004 9:00,node 272,DISK,"I/O on Drive sde ",REPLACE,
5/4/2004 9:30,node 274,DISK,"I/O on Drive sde ",REPLACE,
5/4/2004 10:00,node 340,DISK,"I/O on Drive sdh ",REPLACE,
5/4/2004 11:00,quadrics switch 1N00,MISC,"Quadrics found a problem with node(s) m8 and m12  Nodeset issue ",REBOOT,
5/5/2004 7:30,node 6,DISK,"I/O on Drive sdi ",REPLACE,
5/1/2004 12:51,node 127,DISK,"I/O on Drive sda ",REPLACE,
5/5/2004 8:00,node 390,DISK,"I/O on Drive sdb ",REPLACE,
5/5/2004 8:00,node 441,DISK,"I/O on Drive sdh ",REPLACE,
5/5/2004 8:00,node 549,DISK,"I/O on Drive sdc ",REPLACE,
5/5/2004 9:45,node 915,DISK,"I/O on Drive sda ",REPLACE,
5/5/2004 10:15,node 734,MISC,"LED Error (system battery voltage low) ",REPLACE,
5/5/2004 10:15,node 764,MISC,"LED Error (battery voltage low) ",NONE,
5/7/2004 7:30,node 175,UNKNOWN,"CMC Error ",NONE,
5/7/2004 8:00,node 312,DISK,"I/O on Drive sdb ",REPLACE,
5/7/2004 9:30,node 511,DISK,"I/O on Drive sdg ",REPLACE,
5/7/2004 10:00,node 512,DISK,"I/O on Drive sdi ",REPLACE,
5/8/2004 8:30,node 8,DISK,"I/O on Drv sdc",REPLACE,
5/8/2004 9:00,node 271,DISK,"I/O on Drive sdi",REPLACE,
5/10/2004 9:00,node 352,DISK,"I/O on Drive sdf ",REPLACE,
5/9/2004 9:00,node 413,CABLE,"I/O on mutli drives sdd sde sdf ",REPLACE,
5/9/2004 9:00,node 452,DISK,"I/O on Drive sdc ",REPLACE,
5/9/2004 9:00,node 464,DISK,"I/O on Drive sde ",REPLACE,
5/8/2004 9:00,node 473,DISK,"I/O on Drive sdb ",REPLACE,
5/9/2004 9:00,node 475,DIMM,"CMC Error ",REPLACE,
5/8/2004 9:00,node 501,DISK,"I/O on Drive sde ",REPLACE,
5/10/2004 9:00,node 516,DISK,"I/O on Drive sdf ",REPLACE,
5/8/2004 9:00,node 554,DISK,"I/O on Drive sdi",REPLACE,
5/9/2004 9:00,node 570,CPU,"CMC error ",REPLACE,
5/9/2004 9:00,node 872,MEMORY,"CMC Error ",NONE,
5/10/2004 13:25,node 866,DISK,"I/O on Drive sda ",REPLACE,
5/10/2004 13:25,quadrics switch 1N11,ELAN4,"Cable needs to be reset and/or replaced",RESEAT,
5/10/2004 13:25,home storage 6,HSV,"Drive 8/14 failed ",REPLACE,
5/11/2004 9:00,node 340,DISK,"I/O on Drive sdb ",REPLACE,
5/11/2004 9:00,node 886,DISK,"I/O on Drive sda ",REPLACE,
5/11/2004 12:51,node 482,ELAN4,"ELAN 4 Errors ",MISC,
5/10/2004 12:51,node 969,UNKNOWN,"CMC Error ",NONE,
5/12/2004 16:00,node 406,CPU,"CMC Error ",REPLACE,
5/14/2004 17:45,node 541,DISK,"I/O on Drive sdf ",REPLACE,
5/12/2004 7:00,node 249,DISK,"I/O on Drive sdc",REPLACE,
5/12/2004 7:00,node 532,DISK,"I/O on Drive sdi",REPLACE,
5/14/2004 7:00,node 3,CPU,"CMC Error ",REPLACE,
5/14/2004 16:00,node 116,DISK,"I/O on Drive sdh",REPLACE,
5/14/2004 16:00,node 161,DISK,"I/O on Drive sdg",REPLACE,
5/14/2004 16:00,node 183,CABLE,"I/O on Drive(s) sdb sda sdb ",REPLACE,
5/14/2004 16:00,node 205,DISK,"I/O on Drive sdg",REPLACE,
5/14/2004 16:00,node 209,DISK,"I/O on Drive sdb",REPLACE,
5/14/2004 16:00,node 254,CABLE,"I/O on Drives sdd sdf ",NONE,
5/14/2004 16:45,node 506,DISK,"I/O on Drive sdf",REPLACE,
5/14/2004 17:45,node 790,DIMM,"CMC Error ",NONE,
5/14/2004 17:45,node 872,DIMM,"CMC Error ",NONE,
5/15/2004 18:45,node 16,DISK,"I/O on Drive sdg",REPLACE,
5/17/2004 9:30,node 18,UNKNOWN,"CMC Error ",NONE,
5/15/2004 21:30,node 76,DISK,"I/O on Drive sdc ",REPLACE,
5/16/2004 21:30,node 103,DIMM,"CMC Error ",NONE,
5/16/2004 21:30,node 145,DISK,"I/O on Drv sdf",REPLACE,
5/14/2004 16:00,node 254,CABLE,"I/O Error Reported ",REPLACE,
5/17/2004 9:00,node 390,DISK,"I/O on Drive sdg",REPLACE,
5/16/2004 21:30,node 557,DISK,"I/O on Drive sdh ",REPLACE,
5/16/2004 21:30,node 849,DIMM,"CMC Error ",NONE,
5/16/2004 10:45,node 898,DISK,"I/O on Drive sda ",REPLACE,
5/15/2004 10:45,node 903,DISK,"I/O on Drive sdb",REPLACE,
5/18/2004 5:00,node 155,DISK,"I/O on Drive sdg",REPLACE,
5/18/2004 5:00,node 380,UNKNOWN,"CMC Diags ",NONE,
5/17/2004 17:00,node 482,DISK,"I/O on Drive on sdf ",REPLACE,
5/18/2004 5:00,node 574,UNKNOWN,"CMC Error ",NONE,
5/17/2004 17:00,node 899,DISK,"I/O on Drive sdf ",REPLACE,
5/18/2004 8:00,node 977,CPU,"CMC Error ",REPLACE,
5/18/2004 8:00,quadrics switch 1N11,ELAN4,"ELAN4 Switch Cable is in need of a reseat ",RESEAT,
5/18/2004 8:00,quadrics switch 1N06,ELAN4,"ELAN4 Switch cable needs to be Reseated ",RESEAT,
5/18/2004 8:00,quadrics switch 1N08,ELAN4,"ELAN4 Switch cable needs to be reseated ",RESEAT,
5/18/2004 8:00,quadrics switch 1N14,ELAN4,"ELAN4 Switch Cable needs to be reseated ",RESEAT,
5/19/2004 5:30,node 155,DISK,"I/O on Drive sdg ",REPLACE,
5/19/2004 5:30,node 380,UNKNOWN,"CMC Error ",NONE,
5/19/2004 5:30,node 482,DISK,"I/O on Drive sdf",REPLACE,
5/19/2004 5:30,node 557,UNKNOWN,"CMC Error ",NONE,
5/19/2004 9:30,quadrics switch 1N11,ELAN4,"ELAN4 Switch Cable in need of reseat",RESEAT,
5/19/2004 9:30,quadrics switch 1N06,ELAN4,"ELAN4 Switch Cable in need of reseat",RESEAT,
5/19/2004 9:30,quadrics switch 1N08,ELAN4,"ELAN4 Switch Cable in need of reseat",RESEAT,
5/19/2004 9:30,quadrics switch 1N14,ELAN4,"ELAN4 Switch Cable in need of reseat",RESEAT,
5/19/2004 21:30,node 355,CPU,"CMC Error ",REPLACE,
5/20/2004 9:30,node 917,CPU,"CMC Error ",REPLACE,
5/20/2004 9:30,node 969,DIMM,"CMC Error ",NONE,
5/20/2004 10:30,node 735,PLATFORM,"Firmware update ",REPLACE,
5/20/2004 11:30,node 308,CNTLR,"I/O on Drive(s) sdd sde sdf",REPLACE,
5/20/2004 11:30,node 572,UNKNOWN,"System wouldn't POST",REBOOT,
5/20/2004 13:30,node 872,PLATFORM,"Trap Error  ",REPLACE,
5/20/2004 13:30,node 878,PLATFORM,"MCA error ",REPLACE,
5/20/2004 13:30,node 396,DISK,"I/O on Drive sde ",REPLACE,
5/20/2004 13:30,node 410,CNTLR,"I/O on drive(s) sdd sde sdf",REPLACE,
5/20/2004 13:30,node 472,DISK,"I/O on Drive sdi",REPLACE,
5/20/2004 13:30,node 493,DISK,"I/O on Drive sde ",REPLACE,
5/20/2004 13:30,node 669,PLATFORM,"System wont POST ",REPLACE,
5/20/2004 8:30,node 40,DISK,"Slow Drives Reported ",NONE,
5/21/2004 8:30,node 158,DISK,"I/O on Drive sde ",REPLACE,
5/21/2004 8:30,node 250,DIMM,"CMC Error ",NONE,
5/20/2004 8:30,node 308,DISK,"Slow Drive Reported ",MISC,
5/20/2004 8:30,node 325,CABLE,"I/O on Drives sdd sde sdf ",REPLACE,
5/20/2004 8:30,node 410,DISK,"Slow Drive Reported ",MISC,
5/20/2004 8:30,node 472,DISK,"Slow Drive reporter ",REPLACE,
5/20/2004 8:30,node 576,DIMM,"CMC Error ",NONE,
5/20/2004 8:30,node 764,PLATFORM,"First report was a LED Error for a Battery Voltage Low error ",REPLACE,
5/22/2004 8:30,node 120,CNTLR,"Ds2100 are not showing ",REBOOT,
5/22/2004 8:30,node 156,CNTLR,"DS2100's not showing ",REBOOT,
5/22/2004 8:30,node 295,DISK,"system not showing lower (channel a) ds2100",REPLACE,
5/22/2004 8:30,node 348,CNTLR,"System not reporting ds2100 ",REBOOT,
5/22/2004 8:30,node 431,DISK,"I/O on drive sdd",REPLACE,
5/22/2004 8:30,node 506,DISK,"I/O on Drive sdd",REPLACE,
5/21/2004 8:30,node 549,DISK,"I/O error on Drive sdb",REPLACE,
5/22/2004 8:30,node 556,DIMM,"CMC Error ",MISC,
5/22/2004 8:30,node 587,MISC,"Network Errors ",NONE,
5/22/2004 8:30,node 618,UNKNOWN,"CMC Error ",NONE,
5/22/2004 8:30,node 733,DISK,"I/O error on Drive sdb",REPLACE,
5/22/2004 8:30,node 764,PLATFORM,"PNNL_mmp2-31 This is related to the first error reporter back on 05/05/2004 ",REPLACE,
5/22/2004 8:30,node 776,DISK,"I/O error on Drive sda ",REPLACE,
5/23/2004 8:30,node 872,DISK,"I/O error on Drive sda ",REPLACE,
5/24/2004 7:30,node 74,OS,"Slow /Scratch ",NONE,
5/24/2004 7:30,node 137,OS,"Slow /Scratch ",REPLACE,
5/24/2004 7:30,node 148,OS,"Slow /Scratch ",REPLACE,
5/24/2004 7:30,node 213,DISK,"Slow /Scratch, slow drive",REPLACE,
5/24/2004 7:30,node 525,OS,"Slow /Scratch ",NONE,
5/24/2004 7:30,quadrics switch 1N00,ELAN4,"cable needs to be reseated ",RESEAT,
5/24/2004 7:30,quadrics switch 1N14,ELAN4,"cable needs to be reseated ",RESEAT,
5/25/2004 4:30,node 57,DISK,"I/O error on Drive sdc",REPLACE,
5/21/2004 7:30,node 158,DISK,"Slow Disk(s) reported ",REPLACE,
5/24/2004 7:30,node 265,DISK,"I/O error on Drive sdf ",REPLACE,
5/22/2004 8:30,node 587,PLATFORM,"LAN issue ",REPLACE,
5/25/2004 8:30,node 436,DISK,"I/O error on Drive sdf ",REPLACE,
5/25/2004 8:30,quadrics switch 0N14,ELAN3,"Cable of need of reseat ",RESEAT,
5/25/2004 8:30,quadrics switch 0N00,ELAN3,"Switch needs to be power-cycled ",P_CYCLE,
5/25/2004 20:30,node 58,DISK,"I/O error on Drive sdc ",REPLACE,
5/25/2004 19:30,node 226,DISK,"I/O error on Drive sdd ade sdf ",REPLACE,
5/24/2004 7:30,node 525,DISK,"Scratch issue, now drive speed issue ",REPLACE,
5/27/2004 6:30,node 5,PLATFORM,"MCA Error ",REPLACE,
5/26/2004 10:30,node 78,DIMM,"CMC Error ",NONE,
5/27/2004 4:30,node 160,DISK,"I/O error on Drive sdc ",REPLACE,
5/27/2004 4:30,node 225,DIMM,"CMC Error ",NONE,
5/27/2004 4:30,node 280,CABLE,"I/O error on Drives sdd sde sdf ",REPLACE,
5/27/2004 4:30,node 483,DISK,"I/O error on Drive sde ",REPLACE,
5/27/2004 4:30,node 559,DISK,"I/O error on Drive sdg",REPLACE,
5/27/2004 16:30,node 337,DISK,"I/O error on Drive sde",REPLACE,
5/27/2004 16:30,node 498,DISK,"I/O error on Drive sda",REPLACE,
5/27/2004 16:30,node 738,DISK,"I/O error on Drive sdb ",REPLACE,
5/28/2004 4:30,home storage 4,HSV,"Drive 2/4 Failure ",REPLACE,
5/28/2004 4:30,dtemp storage 11,HSV,"Drive replacement ",REPLACE,
5/28/2004 4:30,dtemp storage 19,HSV,"Drive replacement ",REPLACE,
5/28/2004 4:30,dtemp storage 23,HSV,"Drive replacement ",REPLACE,
5/28/2004 4:30,dtemp storage 31,HSV,"Drive replacement ",REPLACE,
5/30/2004 9:00,node 695,UNKNOWN,"CMC Error ",NONE,
5/28/2004 16:30,node 860,DISK,"I/O error on Drive sda ",NONE,
5/31/2004 9:30,node 881,DISK,"I/O error on Drive sdb ",REPLACE,
6/1/2004 9:00,dtemp storage 02,HSV,"Drive replacement ",REPLACE,
6/1/2004 9:00,dtemp storage 06,HSV,"Drive Replacement ",REPLACE,
6/1/2004 9:00,dtemp storage 07,HSV,"Drive Replacement ",REPLACE,
6/1/2004 9:00,dtemp storage 13,HSV,"Drive Replacement",REPLACE,
6/1/2004 9:00,dtemp storage 20,HSV,"Drive Replacement ",REPLACE,
6/1/2004 9:00,dtemp storage 27,HSV,"Drive Replacement ",REPLACE,
6/1/2004 9:00,dtemp storage 30,HSV,"Drive Replacement ",REPLACE,
5/31/2004 9:00,node 56,DISK,"I/O error on Drive sdg",REPLACE,
5/30/2004 9:00,node 210,DIMM,"CMC Error ",NONE,
5/30/2004 9:00,node 214,DISK,"I/O error on Drive sdf ",REPLACE,
5/31/2004 9:00,node 241,DISK,"I/O error on Drive sdh",REPLACE,
5/31/2004 9:30,node 422,DISK,"I/O error on Drive sdg",REBOOT,
5/30/2004 11:30,node 642,ELAN4,"High Load on the ELAN4 ",NONE,
5/31/2004 9:00,node 802,UNKNOWN,"CMC Error ",NONE,
5/31/2004 9:00,node 803,CPU,"CMC Error ",REPLACE,
6/1/2004 19:30,node 575,DISK,"I/O error on Drive sdb ",REPLACE,
6/1/2004 19:30,node 924,FAN,"System shut itself down",REPLACE,
6/2/2004 13:30,test node 6,DISK,"I/O error on Drive sda ",REPLACE,
6/2/2004 7:30,node 678,UNKNOWN,"External Air high too high ",MISC,
6/2/2004 7:30,node 572,UNKNOWN,"LED Error Firmware Hang ",MISC,
6/3/2004 1:30,node 111,DISK,"I/O error on Drive sdi",REPLACE,
6/2/2004 19:30,node 138,DIMM,"CMC Error ",DIAGNOSTICS,
6/3/2004 7:30,node 445,DISK,"I/O error on Drive sda ",REPLACE,
6/3/2004 7:30,node 787,ELAN4,"ELAN4 is complaining about a Loose connection ",RESEAT,
6/3/2004 7:30,node 924,FAN,"LED Error Fan Error ",REPLACE,
6/5/2004 14:30,node 119,DISK,"I/O error on Drive sdh ",REPLACE,
6/5/2004 14:30,node 152,DISK,"I/O error on Drive sdg",REPLACE,
6/4/2004 4:30,node 244,DISK,"I/O error on Drive sdf",REPLACE,
6/5/2004 14:30,node 372,DISK,"I/O Error on Drive sdg",REPLACE,
6/5/2004 14:30,node 435,UNKNOWN,"CMC Error ",DIAGNOSTICS,
6/4/2004 4:30,node 521,CONSOLE,"Node Hung ",DIAGNOSTICS,
6/4/2004 4:30,node 769,OS,"Luster Error ",REBOOT,
6/4/2004 4:30,node 892,UNKNOWN,"Luster Error ",REBOOT,
6/4/2004 4:30,node 900,OS,"Luster Error ",REBOOT,
6/4/2004 4:30,node 904,OS,"Luster Error ",REBOOT,
6/4/2004 4:30,node 905,OS,"Luster Error ",REBOOT,
6/4/2004 10:30,test node 2,DIMM,"CMC Error ",DIAGNOSTICS,
6/5/2004 14:30,node 70,DIMM,"CMC Error ",REPLACE,
6/5/2004 14:30,node 95,DISK,"I/O error on Drive sdg",REPLACE,
6/5/2004 14:30,node 250,DIMM,"CMC Error ",DIAGNOSTICS,
6/5/2004 14:30,node 479,DISK,"I/O error on Drive sdi",REPLACE,
6/5/2004 14:30,node 887,DISK,"I/O Error on Drive sda",REPLACE,
6/5/2004 14:30,node 902,DISK,"I/O error on Drive sdb",REPLACE,
6/5/2004 14:30,node 918,DISK,"I/O error on Drive sdb",REPLACE,
6/6/2004 9:00,dtemp storage 10,HSV,"Controller A needs to be replaced ",REPLACE,
6/6/2004 9:00,home storage 7,HSV,"Controller A needs to be replaced ",REPLACE,
6/7/2004 9:00,node 515,DISK,"I/O Error on Drive sdh",REPLACE,
6/7/2004 9:00,dtemp storage 24,HSV,"Drive 2/12 Failure",REPLACE,
6/7/2004 9:00,dtemp storage 26,HSV,"Drive 6/2 Failure",REPLACE,
6/7/2004 9:00,dtemp storage 32,HSV,"Drive 10/4 Failure ",REPLACE,
6/7/2004 9:00,home storage 7,HSV,"Drive 11/5 Failure ",REPLACE,
6/5/2004 21:30,node 74,DISK,"I/O error on Drive sdc ",REPLACE,
6/7/2004 19:00,node 121,DISK,"I/O Error on Drive sde",REPLACE,
6/8/2004 12:30,node 203,DISK,"I/O Error on Drive sdb ",REPLACE,
6/7/2004 18:30,node 314,DISK,"I/O Error on Drive ",REPLACE,
6/6/2004 22:00,node 324,CPU,"CMC Error ",REPLACE,
6/6/2004 19:00,node 462,DISK,"I/O Error on Drive sdi and CMC Error ",REPLACE,
6/8/2004 13:30,node 671,ELAN4,"ELAN 4 Error ",RESEAT,
6/8/2004 23:17,node 269,OS,"MCA Error, Node showed LED Error Firmware Hang ",REBOOT,
6/8/2004 23:17,node 571,OS,"MCA Error Reported, LED Error shows Firmware Hang ",REBOOT,
6/8/2004 23:17,node 572,OS,"MCA Error Reported, LED Error shows Firmware Hang",REBOOT,
6/8/2004 23:17,node 573,OS,"MCA Error Reported, LED Error shows Firmware Hang",REBOOT,
6/8/2004 23:17,node 574,OS,"MCA Error Reported, LED Error shows Firmware Hang",REBOOT,
6/8/2004 23:17,node 575,OS,"MCA Error Reported, LED Error shows Firmware Hang",REBOOT,
6/8/2004 23:17,node 576,OS,"MCA Error Reported, LED Error shows Firmware Hang",REBOOT,
6/8/2004 23:17,node 577,OS,"MCA Error Reported, LED Error shows Firmware Hang",REBOOT,
6/8/2004 23:17,node 578,OS,"MCA Error Reported, LED Error shows Firmware Hang",REBOOT,
6/8/2004 23:17,node 579,OS,"MCA Error Reported, LED Error shows Firmware Hang",REBOOT,
6/8/2004 23:17,node 581,OS,"MCA Error Reported, LED Error shows Firmware Hang",REBOOT,
6/8/2004 23:17,node 582,OS,"MCA Error Reported, LED Error shows Firmware Hang",REBOOT,
6/8/2004 23:17,node 583,OS,"MCA Error Reported, LED Error shows Firmware Hang",REBOOT,
6/8/2004 23:17,node 584,OS,"MCA Error Reported, LED Error shows Firmware Hang",REBOOT,
6/8/2004 23:17,node 585,OS,"MCA Error Reported, LED Error shows Firmware Hang",REBOOT,
6/8/2004 23:17,node 587,OS,"MCA Error Reported, LED Error shows Firmware Hang",REBOOT,
6/8/2004 23:17,node 598,OS,"MCA Error Reported, LED Error shows Firmware Hang",REBOOT,
6/8/2004 23:17,node 601,OS,"MCA Error Reported, LED Error shows Firmware Hang",REBOOT,
6/8/2004 23:17,node 602,OS,"MCA Error Reported, LED Error shows Firmware Hang",REBOOT,
6/8/2004 23:17,node 603,OS,"MCA Error Reported, LED Error shows Firmware Hang",REBOOT,
6/8/2004 23:17,node 605,OS,"MCA Error Reported, LED Error shows Firmware Hang",REBOOT,
6/8/2004 23:17,node 606,OS,"MCA Error Reported, LED Error shows Firmware Hang",REBOOT,
6/8/2004 23:17,node 607,OS,"MCA Error Reported, LED Error shows Firmware Hang",REBOOT,
6/8/2004 23:17,node 888,OS,"MCA Error Reported, LED Error shows Firmware Hang",REBOOT,
6/8/2004 23:17,node 889,OS,"MCA Error Reported, LED Error shows Firmware Hang",REBOOT,
6/8/2004 23:17,node 891,OS,"MCA Error Reported, LED Error shows Firmware Hang",REBOOT,
6/8/2004 23:17,node 893,OS,"MCA Error Reported, LED Error shows Firmware Hang",REBOOT,
6/8/2004 23:17,node 895,OS,"MCA Error Reported, LED Error shows Firmware Hang",REBOOT,
6/8/2004 23:17,node 898,OS,"MCA Error Reported, LED Error shows Firmware Hang",REBOOT,
6/8/2004 23:17,node 901,OS,"MCA Error Reported, LED Error shows Firmware Hang",REBOOT,
6/8/2004 23:17,node 902,OS,"MCA Error Reported, LED Error shows Firmware Hang",REBOOT,
6/8/2004 23:17,node 929,OS,"MCA Error Reported, LED Error shows Firmware Hang",REBOOT,
6/9/2004 7:00,node 587,MISC,"ELAN 4 Complaining on Connection issue ",REPLACE,
6/9/2004 7:00,node 578,UNKNOWN,"ELAN4 Error ",RESEAT,
6/9/2004 9:00,node 33,DIMM,"CMC Error ",DIAGNOSTICS,
6/9/2004 2:00,node 503,DISK,"I/O error on Drive sdg",REPLACE,
6/9/2004 2:00,node 546,DISK,"I/O error on Drive sda",REPLACE,
6/8/2004 22:22,node 974,DIMM,"CMC Error ",REPLACE,
6/10/2004 1:30,node 39,DISK,"I/O error on Drive sde",REPLACE,
6/10/2004 1:30,node 501,DISK,"I/O error on Drive sdb",REPLACE,
6/10/2004 1:30,node 930,DISK,"I/O error on Drive sdb",REPLACE,
6/10/2004 23:00,node 563,UNKNOWN,"CMC Error ",DIAGNOSTICS,
6/11/2004 2:12,node 753,CPU,"CMC Error ",REPLACE,
6/11/2004 15:33,node 816,UNKNOWN,"CMC Error ",DIAGNOSTICS,
6/11/2004 10:51,node 940,DIMM,"CMC Error ",REPLACE,
6/12/2004 20:25,node 6,DISK,"I/O error on Drive sdh",REPLACE,
6/14/2004 13:32,node 40,DIMM,"CMC Error",DIAGNOSTICS,
6/11/2004 19:00,node 292,DIMM,"CMC Error ",DIAGNOSTICS,
6/13/2004 6:52,node 297,CPU,"CMC Error ",REPLACE,
6/13/2004 20:32,node 453,CPU,"CMC Error ",REPLACE,
6/12/2004 18:18,node 572,UNKNOWN,"Not Responding ",DIAGNOSTICS,
6/13/2004 7:30,node 907,DISK,"I/O error on Drive sdb",REPLACE,
6/15/2004 14:20,node 64,DISK,"I/O error on Drive sdh ",REPLACE,
6/15/2004 10:00,node 300,UNKNOWN,"System Crashed, system displayed a LED error of a Firmware Hang ",REBOOT,
6/15/2004 15:55,node 355,DISK,"I/O error on Drive sdc ",REPLACE,
6/15/2004 7:23,node 405,CPU,"Closed in LIM ",REPLACE,
6/15/2004 7:22,node 905,CPU,"CMC Error ",REPLACE,
6/15/2004 9:30,dtemp storage 07,HSV,"Error Beep Fan/Blower Failure ",REPLACE,
6/15/2004 9:30,dtemp storage 18,HSV,"Drive 7/6 Failure ",REPLACE,
6/15/2004 9:30,dtemp storage 19,HSV,"Drive 10/9 Failure ",REPLACE,
6/15/2004 9:30,dtemp storage 32,HSV,"Drive 11/5 Failure ",REPLACE,
6/16/2004 2:16,node 111,DISK,"I/O error on Drive sdf ",REPLACE,
6/15/2004 22:12,node 578,CPU,"CMC Error ",REPLACE,
6/14/2004 10:00,node 777,UNKNOWN,"LED error, Firmware Hang ",REBOOT,
6/14/2004 10:00,node 589,FAN,"LED Error, Turbo Cooler 0 ",REPLACE,
6/17/2004 15:00,node 323,DISK,"I/O error on Drive sdh ",REPLACE,
